word,frequency
néerlandais,31977
issus,31969
l'économie,31956
jules,31941
personnalités,31939
églises,31903
distingue,31861
constituée,31860
l'étude,31842
inspiré,31836
candidats,31833
autonome,31831
humaine,31820
nef,31811
niveaux,31769
colonel,31758
l'article,31711
lien,31687
étrangères,31677
quartiers,31670
race,31652
acteurs,31645
original,31617
affirme,31597
prit,31580
prévu,31576
ferroviaire,31547
agricole,31508
guerres,31505
utilisées,31486
cartes,31479
difficultés,31450
lesquelles,31385
jazz,31363
japonaise,31357
beaux-arts,31356
totalement,31316
mines,31288
altitude,31281
décidé,31217
frédéric,31205
couronne,31204
retrouver,31202
archives,31194
tiers,31186
trône,31166
dessinée,31160
sujets,31159
partis,31158
phare,31130
sang,31121
abrite,31111
s'installe,31103
précédente,31079
légende,31056
écrits,31027
comédie,31022
baron,31018
tenu,30993
vin,30955
cérémonie,30937
communautés,30921
parallèle,30917
marc,30915
alliés,30913
hongrie,30904
promu,30891
montagnes,30883
travaillé,30844
protéger,30832
cardinal,30815
pouvoirs,30814
impériale,30813
donnant,30802
prisonniers,30796
fédéral,30768
strasbourg,30757
cap,30755
démocratique,30746
park,30728
idées,30717
villa,30703
vert,30688
allant,30679
complète,30672
professionnels,30670
accès,30662
dehors,30653
onze,30643
contraire,30614
basket-ball,30555
direct,30545
maroc,30534
bourg,30519
l'édifice,30500
madrid,30488
russes,30487
suivre,30482
performance,30461
porter,30449
venir,30448
fleurs,30437
religieuse,30435
île,30371
nantes,30350
victime,30296
prises,30294
statue,30285
pointe,30283
privé,30245
l'enseignement,30243
installé,30234
rose,30222
consommation,30218
planète,30213
phénomène,30189
déclaré,30143
l'existence,30137
top,30115
détruit,30089
estime,30077
liaison,30065
destiné,30060
thèse,30006
internationales,29987
milan,29980
influence,29972
nationales,29969
utiliser,29962
k,29954
dessin,29930
disney,29921
chose,29919
auquel,29897
récit,29892
élève,29888
super,29875
réseaux,29874
léon,29864
st,29853
chapitre,29822
rendu,29797
quinze,29792
